id	cid	canonical_smiles	isomeric_smiles
875	68734370	"CC(CC(=O)C(C1=C(C=C(C=C1)O)O)C2=C(C=C(C=C2)O)O)O"	"CC(CC(=O)C(C1=C(C=C(C=C1)O)O)C2=C(C=C(C=C2)O)O)O"
874	185	"CC(=O)NC(CCC(=O)O)C(=O)O"	"CC(=O)NC(CCC(=O)O)C(=O)O"
873	131166551	"CCC1=CC(C(C=C1)(C(=O)O)O)O"	"CCC1=C[C@@H]([C@](C=C1)(C(=O)O)O)O"
869	10322600	"CC1(CC2C3=CCC4C5(CCC(C(C5CCC4(C3(CCC2(C(C1)O)C)C)C)(C)C(=O)O)O)C)C"	"C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3(C2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)C(=O)O)O"
868	49819184	"CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CNCCCO)O)O)O)N)NC(=O)C4(CC(C4)N)O)O"	"C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CNCCCO)O)O)O)N)NC(=O)C4(CC(C4)N)O)O"
867	83697	"CC(C)CC(C(=O)O)O"	"CC(C)C[C@@H](C(=O)O)O"
866	8487	"CC(=O)C1=CC(=CC=C1)O"	"CC(=O)C1=CC(=CC=C1)O"
863	87749491	"C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC=CC(=C3)OC=O)O)O)O)O)O)O"	"C1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC=CC(=C3)OC=O)O)O)O)O)O)O"
86	14040667	"COC1=CC=C(C=C1)CCCC(C(=O)O)C(=O)O"	"COC1=CC=C(C=C1)CCCC(C(=O)O)C(=O)O"
861	101530051	"C1C(OC(O1)C2=CC=C(C=C2)O)C3C(C(OC(O3)C4=CC=C(C=C4)O)CO)O"	"C1[C@H](OC(O1)C2=CC=C(C=C2)O)[C@@H]3[C@@H]([C@H](OC(O3)C4=CC=C(C=C4)O)CO)O"
860	289	"C1=CC=C(C(=C1)O)O"	"C1=CC=C(C(=C1)O)O"
859	101609020	"CC(=O)OCC1C(C(C(C(O1)OC2=C(C=C(C=C2OC)C3C4COC(C4CO3)C5=CC(=C(C(=C5)OC)OC(=O)C)OC)OC)OC(=O)C)OC(=O)C)OC(=O)C"	"CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C=C(C=C2OC)[C@@H]3[C@H]4CO[C@@H]([C@H]4CO3)C5=CC(=C(C(=C5)OC)OC(=O)C)OC)OC)OC(=O)C)OC(=O)C)OC(=O)C"
858	23218935	"C1=CC=C2C(=C1)C=CC=C2C(=O)C3=CC=C(C=C3)C(=O)O"	"C1=CC=C2C(=C1)C=CC=C2C(=O)C3=CC=C(C=C3)C(=O)O"
857	53671740	"CC(=C)C(=O)OCC(COC(=O)C1=C(C=CC=C1O)O)O"	"CC(=C)C(=O)OCC(COC(=O)C1=C(C=CC=C1O)O)O"
855	158641	"CC1C2C(C(C1O)O)C(=COC2OC3C(C(C(C(O3)CO)O)O)O)C(=O)OC"	"C[C@@H]1[C@@H]2[C@H]([C@@H]([C@@H]1O)O)C(=CO[C@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)OC"
853	370	"C1=C(C=C(C(=C1O)O)O)C(=O)O"	"C1=C(C=C(C(=C1O)O)O)C(=O)O"
852	13213508	"C(CCCC(=O)CCC(=O)O)CCCC(=O)O"	"C(CCCC(=O)CCC(=O)O)CCCC(=O)O"
851	181681	"COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC"	"COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC"
850	54028019	"CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC)NC(CCS(=O)C)P(=O)(O)O"	"CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC)N[C@H](CC[S@@](=O)C)P(=O)(O)O"
848	21578031	"C1=CC=C(C=C1)C(=O)OC2C(C(C(OC2OC3=CC=CC=C3COC(=O)C4=CC=CC=C4O)CO)O)O"	"C1=CC=C(C=C1)C(=O)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC=CC=C3COC(=O)C4=CC=CC=C4O)CO)O)O"
846	9476	"C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O"	"C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O"
844	68917905	"C1=CC(=CC(=C1)OCCCCCCCCCCC(=O)O)O"	"C1=CC(=CC(=C1)OCCCCCCCCCCC(=O)O)O"
843	57509350	"COC(=O)C1=CC=CC=C1OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O"	"COC(=O)C1=CC=CC=C1OC2C(C(C(C(O2)CO)O)O)OC3C(C(C(C(O3)CO)O)O)O"
842	70103876	"C1=CC=C(C=C1)C(=O)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O"	"C1=CC=C(C=C1)C(=O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O"
841	5312941	"CC(=O)CCCCCCC(=O)O"	"CC(=O)CCCCCCC(=O)O"
840	11003703	"C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O"	"C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O"
839	74300	"C(CCCCC(=O)O)CCCCO"	"C(CCCCC(=O)O)CCCCO"
837	101278555	"CCCCCCCC(=O)OCC(COC(=O)CCC(=O)O)O"	"CCCCCCCC(=O)OCC(COC(=O)CCC(=O)O)O"
834	76720	"C1=C(OC(=C1)C(=O)O)C(=O)O"	"C1=C(OC(=C1)C(=O)O)C(=O)O"
831	100067	"COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC"	"COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC"
829	60107245	"CC(=O)OC1C(C2C(C(C1O2)O)OC(=O)C)O"	"CC(=O)OC1[C@@H]([C@@H]2C(C(C1O2)O)OC(=O)C)O"
826	101030701	"COC1=CC(=C(C(=C1)OC)C=C=O)OC"	"COC1=CC(=C(C(=C1)OC)C=C=O)OC"
823	656416	"C(C1C(C(C(C(O1)OC(CO)C(=O)O)O)O)O)O"	"C(C1C(C(C(C(O1)OC(CO)C(=O)O)O)O)O)O"
822	3586551	"CC(=O)NNC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)S(=O)(=O)N(CCOC)CCOC"	"CC(=O)NNC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)S(=O)(=O)N(CCOC)CCOC"
82	18037434	"CCCCCCCN(C(C1=CC=CC=C1C#C)C(=O)NC(C)(C)C)C(=O)C(CO)NC(=O)OC(C)(C)C"	"CCCCCCCN(C(C1=CC=CC=C1C#C)C(=O)NC(C)(C)C)C(=O)C(CO)NC(=O)OC(C)(C)C"
818	123382025	"CC(=O)OCCCC1C(C(C(C(O1)COC(=O)C)OC2C(C(C(C(O2)COC(=O)C)O)O)O)O)OC(=O)C"	"CC(=O)OCCCC1C(C(C(C(O1)COC(=O)C)OC2C(C(C(C(O2)COC(=O)C)O)O)O)O)OC(=O)C"
816	87793160	"CC1CCCC(C1(C(=O)O)C(=O)O)(C(=O)O)C(=O)OC(=O)C2(CCCC(C2(C(=O)O)C(=O)O)C)C(=O)O"	"CC1CCCC(C1(C(=O)O)C(=O)O)(C(=O)O)C(=O)OC(=O)C2(CCCC(C2(C(=O)O)C(=O)O)C)C(=O)O"
815	130113644	"CC(C1=CC2=C(C=C(C=C2)O)OC1=O)O"	"CC(C1=CC2=C(C=C(C=C2)O)OC1=O)O"
814	119097987	"CN1C2=C(C(=O)N(C(=N2)N)N)NC1=O"	"CN1C2=C(C(=O)N(C(=N2)N)N)NC1=O"
81	138944006	"CCOC(CN(CC1=CC(=CC=C1)O)CC(=O)OCC)OCC"	"CCOC(CN(CC1=CC(=CC=C1)O)CC(=O)OCC)OCC"
811	129989173	"C1C(C(C(OC1C(=O)O)C(=O)O)O)O"	"C1C(C(C(OC1C(=O)O)C(=O)O)O)O"
810	2723911	"CC(C(C(C(C(C(=O)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)O"	"CC([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)O"
808	14289197	"CC1=CC(=C(C=C1O)O)C(=O)OC"	"CC1=CC(=C(C=C1O)O)C(=O)OC"
80	72348	"CCCCCCCCCCCCCC(=O)NCC(=O)O"	"CCCCCCCCCCCCCC(=O)NCC(=O)O"
806	131129	"C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC=CC=C3)O)O)O)O)O)O"	"C1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC=CC=C3)O)O)O)O)O)O"
803	88788511	"COP(=S)(O)OOCCOC1=CC=CC=C1"	"COP(=S)(O)OOCCOC1=CC=CC=C1"
802	607	"C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O"	"C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O"
801	558882	"CC(C(C(=O)O)O)C(=O)O"	"CC(C(C(=O)O)O)C(=O)O"
800	69179149	"CC(=O)OCC1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)OC(=O)C)OC(=O)C)OC(=O)C"	"CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC(=O)C)OC(=O)C)OC(=O)C"
799	11008413	"C1(C(O1)C(=O)O)C2C(O2)C(=O)O"	"[C@H]1([C@H](O1)C(=O)O)[C@@H]2[C@H](O2)C(=O)O"
