sharedname	SMARTS	complementary
Frag_877	[#6&!H0](~[#6])(~[#16])	(C(~C)(~H)(~S))
Frag_881	[#6](~[#6])(~[#16])	(C(~C)(~S))
Frag_884	[#6](~[#6])(:c)(:c)	(C(~C)(:C)(:C))
Frag_887	[#6](~[#6])(:n)(:n)	(C(~C)(:N)(:N))
Frag_889	[#6&!H0](~[Cl])	(C(~Cl)(~H))
Frag_891	[#6](~[F])(~[F])	(C(~F)(~F))
Frag_892	[#6](~[F])(:c)	(C(~F)(:C))
Frag_893	[#6&!H0](~[#7])	(C(~H)(~N))
Frag_894	[#6&!H0](~[#8])	(C(~H)(~O))
Frag_895	[#6&!H0](~[#8])(~[#8])	(C(~H)(~O)(~O))
Frag_896	[#6&!H0](~[#16])	(C(~H)(~S))
Frag_900	[#6&!H0](:c)(:n)	(C(~H)(:C)(:N))
Frag_904	[#6](~[#7])(:c)	(C(~N)(:C))
Frag_905	[#6](~[#7])(:c)(:c)	(C(~N)(:C)(:C))
Frag_906	[#6](~[#7])(:c)(:n)	(C(~N)(:C)(:N))
Frag_907	[#6](~[#7])(:n)	(C(~N)(:N))
Frag_911	[#6](~[#16])(:c)	(C(~S)(:C))
Frag_913	[#6](:c)(:c)(:c)	(C(:C)(:C)(:C))
Frag_914	[#6](:c)(:c)(:n)	(C(:C)(:C)(:N))
Frag_916	[#6](:c)(:n)(:n)	(C(:C)(:N)(:N))
Frag_917	[#6](:n)(:n)	(C(:N)(:N))
Frag_918	[#7](~[#6])(~[#6])	(N(~C)(~C))
Frag_920	[#7&!H0](~[#6])(~[#6])	(N(~C)(~C)(~H))
Frag_925	[#7](~[#6])(:c)(:c)	(N(~C)(:C)(:C))
Frag_926	[#7&!H0](~[#7])	(N(~H)(~N))
Frag_928	[#7&!H0](:c)(:c)	(N(~H)(:C)(:C))
Frag_931	[#7](:c)(:c)	(N(:C)(:C))
Frag_933	[#8](~[#6])(~[#6])	(O(~C)(~C))
Frag_937	[#8](:c)(:c)	(O(:C)(:C))
Frag_940	[#16](~[#6])(~[#6])	(S(~C)(~C))
Frag_941	[#16&!H0](~[#6])	(S(~C)(~H))
Frag_946	[#6]=,:[#7]	(C=N)
Frag_948	[#6]=,:[#8]	(C=O)
Frag_949	[#6]=,:[#16]	(C=S)
Frag_950	[#7]=,:[#7]	(N=N)
Frag_951	[#7]=,:[#8]	(N=O)
Frag_956	[#6&!H0](#[#6])	(C(#C)(-H))
Frag_958	[#6](-,:[#6])(-,:[#6])(=,:[#6])	(C(-C)(-C)(=C))
Frag_959	[#6](-,:[#6])(-,:[#6])(=,:[#7])	(C(-C)(-C)(=N))
Frag_960	[#6](-,:[#6])(-,:[#6])(=,:[#8])	(C(-C)(-C)(=O))
Frag_964	[#6&!H0](-,:[#6])(=,:[#8])	(C(-C)(-H)(=O))
Frag_965	[#6](-,:[#6])(-,:[#7])(=,:[#6])	(C(-C)(-N)(=C))
Frag_966	[#6](-,:[#6])(-,:[#7])(=,:[#7])	(C(-C)(-N)(=N))
Frag_967	[#6](-,:[#6])(-,:[#7])(=,:[#8])	(C(-C)(-N)(=O))
Frag_970	[#6](-,:[#6])(=,:[#7])	(C(-C)(=N))
Frag_976	[#6&!H0](=,:[#8])	(C(-H)(=O))
Frag_978	[#6](-,:[#7])(=,:[#7])	(C(-N)(=N))
Frag_979	[#6](-,:[#7])(=,:[#8])	(C(-N)(=O))
Frag_980	[#6](-,:[#8])(=,:[#8])	(C(-O)(=O))
Frag_981	[#7](-,:[#6])(=,:[#6])	(N(-C)(=C))
Frag_982	[#7](-,:[#6])(=,:[#8])	(N(-C)(=O))
Frag_984	[#15](-,:[#8])(=,:[#8])	(P(-O)(=O))
